Age,Min,Gls,Ast,npxG,xAG,Sh,SoT,Cmp,Att,KP,PPA,CrsPA,PrgP,Touches,PrgC,Succ,Dis,Rec,Tkl,Int,Blocks,Clr,Recov,Won,CrdY,CrdR,Fls,Fld,Off,Crs,value,days_missed,games_missed,height,Club_Rank,Country_Rank,Pos_FW,Pos_MF,foot_left,foot_right
23.0,3420.0,2.0,3.0,2.5,1.8,17.0,6.0,1705.0,1985.0,10.0,7.0,2.0,127.0,2435.0,32.0,6.0,8.0,1490.0,40.0,34.0,8.0,226.0,162.0,117.0,5.0,0.0,29.0,2.0,5.0,8.0,28000000.0,69.0,8.0,193.0,99,60,False,False,False,True
28.0,3420.0,2.0,0.0,1.2,0.2,22.0,8.0,1409.0,1635.0,4.0,5.0,0.0,71.0,2043.0,13.0,4.0,1.0,1157.0,37.0,23.0,5.0,237.0,93.0,104.0,3.0,0.0,31.0,0.0,3.0,5.0,3600000.0,2.0,0.0,187.0,357,9,False,False,False,True
25.0,3414.0,20.0,7.0,7.5,8.3,79.0,34.0,872.0,1319.0,70.0,59.0,19.0,141.0,1781.0,130.0,52.0,47.0,1204.0,49.0,14.0,50.0,55.0,156.0,34.0,3.0,0.0,25.0,4.0,8.0,202.0,55000000.0,97.0,19.0,171.0,41,2,True,False,True,False
30.0,3406.0,1.0,3.0,2.9,1.1,28.0,3.0,2531.0,2781.0,11.0,9.0,0.0,188.0,3152.0,30.0,4.0,6.0,2254.0,39.0,27.0,11.0,179.0,135.0,124.0,2.0,0.0,42.0,0.0,1.0,1.0,12000000.0,35.0,8.0,192.0,9,65,False,False,False,True
32.0,3371.0,29.0,18.0,18.2,14.2,121.0,50.0,892.0,1263.0,88.0,93.0,15.0,144.0,1695.0,154.0,58.0,67.0,1407.0,21.0,9.0,62.0,5.0,101.0,9.0,1.0,0.0,25.0,5.0,6.0,79.0,50000000.0,41.0,12.0,175.0,1,33,True,False,True,False
23.0,3351.0,1.0,2.0,0.8,3.0,20.0,3.0,1967.0,2194.0,30.0,34.0,2.0,215.0,2579.0,43.0,29.0,25.0,1780.0,114.0,49.0,20.0,60.0,229.0,35.0,11.0,0.0,70.0,3.0,4.0,10.0,90000000.0,10.0,2.0,178.0,8,24,False,True,False,True
21.0,3336.0,2.0,5.0,0.5,3.9,19.0,5.0,1346.0,1776.0,35.0,41.0,27.0,159.0,2158.0,106.0,22.0,22.0,1196.0,52.0,45.0,55.0,106.0,169.0,28.0,4.0,0.0,30.0,5.0,5.0,142.0,45000000.0,0.0,0.0,180.0,1,30,False,False,True,False
33.0,3330.0,3.0,1.0,2.2,0.7,27.0,8.0,2688.0,2935.0,12.0,7.0,0.0,198.0,3301.0,22.0,3.0,5.0,2281.0,38.0,56.0,9.0,190.0,115.0,119.0,5.0,0.0,17.0,1.0,3.0,1.0,23000000.0,7.0,2.0,195.0,1,7,False,False,False,True
27.0,3330.0,5.0,2.0,4.0,1.1,29.0,8.0,850.0,1033.0,9.0,2.0,0.0,51.0,1412.0,3.0,1.0,2.0,727.0,51.0,27.0,3.0,209.0,85.0,101.0,4.0,0.0,20.0,0.0,7.0,0.0,35000000.0,0.0,0.0,195.0,40,32,False,False,False,True
31.0,3330.0,3.0,2.0,2.8,3.9,21.0,6.0,1870.0,2236.0,37.0,54.0,8.0,224.0,2541.0,50.0,4.0,14.0,1701.0,66.0,31.0,48.0,85.0,94.0,45.0,6.0,0.0,46.0,1.0,14.0,63.0,12000000.0,3.0,1.0,183.0,9,9,False,False,False,True
32.0,3330.0,1.0,1.0,2.0,0.9,23.0,7.0,1774.0,2006.0,9.0,9.0,0.0,75.0,2386.0,12.0,3.0,3.0,1615.0,39.0,27.0,16.0,197.0,103.0,146.0,11.0,0.0,34.0,1.0,1.0,3.0,6000000.0,38.0,10.0,201.0,43,4,False,False,True,False
33.0,3325.0,2.0,3.0,3.6,1.9,58.0,17.0,1728.0,2062.0,14.0,7.0,3.0,143.0,2486.0,21.0,4.0,4.0,1612.0,46.0,41.0,19.0,181.0,156.0,92.0,8.0,0.0,50.0,0.0,2.0,8.0,2500000.0,0.0,0.0,190.0,235,2,False,False,False,True
20.0,3319.0,1.0,0.0,0.4,0.0,5.0,2.0,1858.0,2053.0,0.0,1.0,0.0,123.0,2367.0,35.0,5.0,10.0,1583.0,56.0,35.0,9.0,128.0,190.0,41.0,6.0,0.0,14.0,0.0,5.0,2.0,30000000.0,0.0,0.0,191.0,110,3,False,False,False,True
27.0,3271.0,5.0,6.0,4.3,6.1,45.0,13.0,1481.0,1798.0,52.0,77.0,6.0,271.0,2213.0,64.0,34.0,76.0,1652.0,83.0,29.0,38.0,44.0,188.0,18.0,7.0,0.0,65.0,4.0,9.0,28.0,80000000.0,0.0,0.0,182.0,43,3,False,True,False,True
