ranking,club name
65,1. FC Köln
34,1. FC Union Berlin
967,12 de Octubre de Itaugua
265,1º de Agosto
2530,1º de Maio
1189,2 de Mayo
1213,3 de Febrero
727,AaB
2141,Aalesund
1873,Aarau
888,Aberdeen
1638,Aberystwyth
1323,Abha Club
945,Abia Warriors
2020,ABM Galaxy FC
1538,Aboomoslem
2014,AC Horsens
2139,AC Kuya Sport
2712,AC LALA FC
2267,AC Mamahira
6,AC Milan
1521,AC Oulu
2299,AC Rangers
2259,Academia Cantolao
1128,Academia F. Amadou Diallo
1811,Academia Puerto Cabello
2639,Academia Quintana
1237,Académica
1774,Académica do Soyo
1963,Académica Lobito
1591,Accra Great Olympics
2070,Accra Lions FC
2641,ACS FC Academica Clinceni
1779,ACS Poli Timişoara
1139,AD Grecia FC
1643,AD Guanacasteca
2541,AD Municipal Liberia
1738,AD Unión Magdalena
2538,Adamawa United
582,Adana Demirspor
1581,Adanaspor
955,Adelaide United
2004,Admira Wacker Mödling
1613,ADO Den Haag
929,Aduana Stars
2215,Adzopé
2497,AE Kouklion
225,AEK
243,AEK Larnaca
1931,AEL Kalloni FC
361,AEL Limassol
2377,AEZ Zakakiou
2703,Afan Lido
267,AFC Bournemouth
2304,AFC Eskilstuna
1380,AFC Herrmannstadt Sibiu
1100,AFC UTA Arad
1234,Africa Sports National
851,AGF
732,Águila
1440,Águilas
770,Águilas Doradas
2115,Ahal FK
1450,Aigle Royal
209,AIK
2117,Aïn Fakroun
2694,Air Force Central FC
2466,Air India
1461,Airbus UK Broughton FC
1714,Aizawl
832,Ajaccio
961,Ajax
7,Ajax Amsterdam
1117,Ajax Cape Town
2730,Ajax Lasnamäe
2360,Ajman Club
1375,Akademija Pandev
2185,Akademik Sofia
1008,Akhisar Belediye
1843,Akokana
883,Aktobe
1394,Akwa Starlets
530,Akwa United
1914,Akzhaiyk Uralsk
2140,AL Adalh FC
483,AL Ahed
345,Al Ahli
1634,Al Ahli
2015,Al Ahli Khartoum
2672,Al Ahli SC Amman
1509,Al Ahli Tripoli
2361,Al Ahli Wad Medani
61,Al Ahly
1878,Al Ahly Benghazi
2083,Al Ahly Merowe
791,Al Ahly Shendi
2144,Al Akhaa Al Ahli
2400,Al Amir
2434,Al Ansar FC (Medina)
855,AL Ansar SC
2492,Al Asalah
1537,Al Batin
2717,Al Egtmaaey Tripoli
892,AL Ettifaq FC
2112,Al Fallah Atbara FC
780,Al Fateh FC
1309,Al Feiha
2688,Al Fujairah
948,AL Gharafa
2622,AL Hazem FC
67,Al Hilal
1920,Al Hilal Kadougli
272,Al Hilal Omdurman
2344,Al Hilal Port Sudan
2592,Al Islah Bourg Shamaly
289,Al Ittihad
2555,Al Ittihad
2614,Al Ittihad Kalba
835,Al Khartoum SC
762,Al Masry
2647,Al Mesaimeer
1033,Al Mokawloon Al Arab
2472,Al Mourada
1898,Al Nahdha Dammam
793,Al Nasr
2419,Al Nasr FC
195,Al Nassr
1407,AL Qadisiyah FC
2188,Al Qadsia
2146,Al Quwa Al Jawiya
2579,Al Rabta Kosti
1341,Al Raed
1857,AL Safa
261,Al Shabab
944,Al Shabab
2465,Al Shabab Al Arabi Beirut
1991,Al Sharkeyah
2611,Al Shimali
1637,Al Shoalah
2449,Al Shorta Al Qadarif
2055,AL Shorta SC
635,Al Taawon
2461,AL Tadamon Sour
2414,Al Urooba Club
433,Al Wahda
1423,Al Wahda
1337,Al Wasl
638,Al-Ahli
2206,Al-Ahli Atbara
249,Al-Ain FC
2037,Al-Ain FC
1129,Al-Arabi Doha
2754,Al-Baqa'a SC
1751,Al-Bourj FC
2310,Al-Dhafra
101,Al-Duhail SC
822,Al-Faisaly FC Harmah
1018,Al-Faisaly SC Amman
2660,Al-Hikma
2159,Al-Hussein SC Irbid
848,Al-Ittihad
1058,Al-Ittihad Al-Sakandary
2396,Al-Jalil
1135,Al-Jazeera Amman
706,Al-Jazira
1398,Al-Khaleej Club
2561,Al-Kharitiyat
2253,Al-Khor
2212,Al-Markhiya Sports Club
2598,Al-Mergheni
329,Al-Merreikh
2616,Al-Nil
1771,Al-Orobah FC
1276,Al-Ramtha SC
601,Al-Rayyan
149,Al-Sadd
1652,Al-Sailiya
1580,Al-Salt
2674,Al-Sareeh SC
2738,Al-Shaab
2330,Al-Shahania S.C.
2665,Al-Shamal SC
1344,Al-Tai FC
1595,Al-Wakra
545,Al-Wehdat SC
2562,Al-Yarmouk FC
1619,Al-Zawraa SC
2681,Ala'ab Damanhour
2585,Alacranes del Norte
2002,Alamal Atbara
1460,Alaniya
336,Alanyaspor
1295,Albion F.C.
1481,Albirex Niigata
466,Aldosivi
1501,Alianza
1313,Alianza Atlético
328,Alianza FC
495,Alianza Lima
691,Alianza Petrolera
1658,Alianza Universidad Huanuco
2240,Alkali Nassara
2664,Alki
1503,Alki Oroklinis
555,All Boys
411,Almería
2518,Alpha United
1277,Altay S.K.
1488,Aluminij
1118,Aluminium Arak
1462,Aluminium Hormozgan
457,Always Ready
839,AmaZulu FC
132,América
573,América de Cali
212,América Mineiro
1356,Amicale FC
2012,Amidaus Professionals FC
541,Amiens SC
599,Amkar Perm'
2543,Anagennisi Deryneia
2747,Andijon
393,Angers
1355,Ankaragücü
2039,Ankaran Hrvatini
1149,Annaba
279,Anorthosis
570,Antigua Guatemala
1636,AOK Kerkyra
895,Apejes de Mfou
2179,APEP
227,APOEL Nicosia
134,Apollon Limassol
2444,Apollon Smyrnis
2064,APOP / Kinyras
1164,Árabe Unido
1482,Aragua FC
2130,Ararat-Armenia FC
2224,Araz PFK
2031,Arcahaie FC
2728,Ards
821,Arema
226,Argentinos Juniors
1120,Argeș Pitești
881,Aris Limassol
236,Aris Thessaloniki FC
1014,Arles
2277,Armed Forces
1828,Army United
1353,Arnett Gardens
908,Arouca
2734,Arrows
22,Arsenal
577,Arsenal de Sarandí
804,Arsenal Tula
2602,Art Municipal Jalapa
1346,AS Aïn M'lila
2336,AS Avenir de Tombouctou
1992,AS Bamako
2491,AS Eliwidj FC
872,AS Fortuna
2135,AS Kasserine
1729,AS Korofina
2525,AS Lossi
1119,AS Magenta
1775,AS Matelots
2184,AS Nianan
740,AS Nika
2108,AS Nyuki de Butembo
2087,AS Police
2042,AS Puma Generaleňa
591,AS Réal Bamako
1109,AS Rejiche
1870,AS Salé
1145,AS Slimane
1252,AS Tanda
1975,AS-FAN
493,Asante Kotoko
287,ASD Spezia Calcio 2008
368,ASEC Mimosas
1290,ASGNN
856,Ashanti Gold FC
1561,ASI D'Abengourou
2290,ASM Oran
860,ASO Chlef
1378,Asoc. Dep. y Rec. Jicaral Sercoba
1066,Asociación Deportiva Tarma (ADT)
1469,Assyriska
639,Asteras Tripolis
77,Aston Villa
679,Astra Ploieşti
649,Astres FC de Douala
2355,Aswan FC
2186,Asyut Petrol
36,Atalanta
2608,Atar Club
1822,Atenas
1809,Atheltic Club Port of Spain
52,Athletic Bilbao
1871,Athlone Town
715,Atlanta United FC
1198,Atlante
240,Atlas
1911,Atlético Balboa
2278,Atlético Chiriquí
