rank,team
18,IR Iran
17,Senegal
16,USA
15,Japan
14,Morocco
13,Croatia
12,Colombia
11,Uruguay
10,Germany
9,Italy
8,Belgium
7,Netherlands
6,Portugal
5,Brazil
4,England
3,Spain
210,San Marino
209,Anguilla
208,US Virgin Islands
207,British Virgin Islands
206,Turks and Caicos Islands
205,Bahamas
204,Liechtenstein
203,Guam
202,Somalia
201,Seychelles
200,Sri Lanka
199,Tonga
198,Pakistan
197,Gibraltar
196,Timor-Leste
195,Aruba
194,Cayman Islands
193,Macau
192,Samoa
191,Djibouti
190,Cook Islands
189,São Tomé and Príncipe
188,American Samoa
187,Mongolia
186,Laos
185,Bangladesh
184,Brunei Darussalam
183,Dominica
182,Bhutan
181,Montserrat
180,Cambodia
179,Mauritius
178,Belize
177,Barbados
176,Chad
175,Nepal
174,Grenada
173,St Vincent and the Grenadines
172,Papua New Guinea
171,Andorra
170,South Sudan
169,Malta
168,St Lucia
167,Myanmar
166,Bermuda
165,Chinese Taipei
164,Cuba
163,Vanuatu
162,Maldives
161,Singapore
160,Antigua and Barbuda
159,Eswatini
158,Yemen
157,Puerto Rico
156,"Hong Kong, China"
155,Afghanistan
154,Guyana
153,Tahiti
152,New Caledonia
151,Moldova
150,Lesotho
149,Philippines
148,Solomon Islands
147,Fiji
146,Ethiopia
145,Liberia
144,St Kitts and Nevis
143,Turkmenistan
142,Lithuania
141,Dominican Republic
140,Latvia
139,Burundi
138,Suriname
137,Faroe Islands
136,Botswana
135,Central African Republic
134,Kuwait
133,Nicaragua
132,Malaysia
131,Malawi
130,Cyprus
129,Sierra Leone
128,Congo
127,India
126,The Gambia
125,Indonesia
124,Rwanda
123,Estonia
122,Niger
121,Zimbabwe
120,Guinea-Bissau
119,Togo
118,Libya
117,Azerbaijan
116,Vietnam
115,Madagascar
114,Korea DPR
113,Sudan
112,Lebanon
111,Namibia
110,Kazakhstan
109,Mauritania
108,Kenya
107,Kyrgyz Republic
106,Tanzania
105,Guatemala
104,Tajikistan
103,Comoros
102,Trinidad and Tobago
101,Palestine
100,Armenia
99,Kosovo
98,Belarus
97,Thailand
96,Mozambique
95,Syria
94,Benin
93,Equatorial Guinea
92,Luxembourg
91,Curaçao
90,China PR
89,Aotearoa New Zealand
88,Uganda
87,Zambia
86,Haiti
85,Angola
84,Gabon
83,El Salvador
82,Bulgaria
81,Bahrain
80,Oman
79,Bolivia
78,Guinea
77,Ghana
76,Israel
75,Honduras
74,Bosnia and Herzegovina
73,Montenegro
72,Cabo Verde
71,Northern Ireland
70,Iceland
69,Finland
68,Georgia
67,North Macedonia
66,Burkina Faso
65,Albania
64,Jordan
63,United Arab Emirates
62,Jamaica
61,Congo DR
60,Republic of Ireland
59,Saudi Arabia
58,Uzbekistan
57,South Africa
56,Iraq
55,Slovenia
54,Costa Rica
53,Paraguay
52,Tunisia
51,Mali
50,Chile
49,Cameroon
48,Qatar
47,Venezuela
46,Côte d'Ivoire
45,Scotland
44,Nigeria
43,Norway
42,Czechia
41,Slovakia
40,Peru
39,Greece
38,Romania
37,Algeria
36,Panama
35,Poland
34,Russia
33,Egypt
32,Serbia
31,Canada
30,Hungary
29,Wales
28,Türkiye
27,Sweden
26,Australia
25,Ukraine
24,Ecuador
23,Korea Republic
22,Austria
21,Denmark
20,Switzerland
19,Mexico
2,France
1,Argentina
