player_id,days_missed,games_missed
3333,412.0,64
12282,22.0,3
14086,46.0,8
15956,70.0,12
16136,63.0,12
16306,84.0,17
17259,124.0,21
27807,65.0,8
27992,6.0,2
31653,8.0,1
32113,130.0,16
33571,34.0,6
35047,13.0,2
38253,62.0,15
39728,29.0,7
40433,177.0,32
40633,75.0,10
40680,18.0,5
42205,29.0,7
42412,153.0,31
43530,27.0,4
43824,12.0,1
45146,296.0,28
45672,94.0,17
46413,28.0,4
49723,92.0,16
52570,253.0,22
53418,46.0,9
53622,8.0,1
54906,34.0,8
55089,48.0,7
55508,54.0,7
55735,15.0,3
57071,30.0,5
57500,98.0,24
58358,5.0,1
58995,11.0,2
59016,516.0,94
59323,31.0,5
60543,33.0,5
60561,26.0,3
61812,108.0,15
64793,249.0,23
66100,39.0,7
67063,88.0,17
68390,161.0,25
69633,45.0,11
70411,63.0,5
72047,28.0,5
72441,196.0,35
72476,17.0,3
73517,115.0,24
73564,102.0,15
73794,319.0,34
73926,58.0,9
74230,34.0,6
74294,96.0,16
74810,170.0,21
74842,80.0,9
74857,300.0,70
74869,50.0,7
74960,38.0,8
75489,182.0,31
80293,27.0,7
81512,14.0,3
82009,126.0,12
82048,87.0,15
82350,217.0,28
82873,13.0,2
84435,114.0,12
84938,22.0,4
85288,254.0,34
85370,255.0,35
85393,36.0,5
85791,187.0,27
85906,56.0,7
86202,95.0,16
88103,52.0,12
88680,107.0,15
88682,63.0,12
88755,195.0,48
91059,149.0,27
91970,260.0,45
92571,11.0,2
92572,108.0,18
93604,37.0,6
93707,189.0,31
93720,44.0,6
93763,7.0,2
93827,91.0,11
93844,49.0,5
94030,123.0,22
94192,4.0,1
94529,23.0,4
95424,60.0,11
95810,124.0,21
96341,17.0,5
96718,62.0,6
99331,62.0,9
99343,197.0,32
99353,53.0,9
99922,188.0,35
100131,261.0,52
100986,145.0,27
102017,24.0,5
102423,19.0,2
103565,83.0,10
104124,264.0,43
105470,202.0,50
106405,73.0,4
106872,6.0,1
106987,82.0,17
108390,346.0,70
108725,53.0,11
110864,232.0,32
110923,160.0,13
111038,100.0,16
111051,31.0,5
111195,153.0,27
111196,81.0,16
111266,15.0,3
111426,55.0,10
111819,29.0,4
111873,9.0,2
111961,91.0,15
112515,128.0,25
112822,14.0,3
113707,15.0,4
115979,114.0,12
116088,86.0,16
117478,169.0,11
117674,45.0,7
118284,27.0,2
118689,111.0,20
118847,71.0,3
118850,182.0,18
119037,25.0,2
119211,17.0,3
119234,185.0,17
119277,35.0,3
119296,72.0,13
120205,77.0,15
120629,19.0,5
121477,75.0,12
121985,86.0,16
123275,29.0,0
123551,12.0,2
123682,352.0,57
124028,88.0,18
124172,253.0,24
124410,78.0,10
124502,124.0,12
124555,30.0,6
124715,209.0,24
124884,9.0,2
125020,99.0,18
125103,44.0,6
125714,32.0,4
125781,21.0,4
126414,127.0,34
126557,75.0,8
126664,43.0,7
126719,145.0,30
126729,270.0,43
126751,108.0,14
127048,141.0,14
127076,147.0,9
127142,138.0,22
127156,55.0,0
127181,32.0,3
127187,27.0,5
127189,96.0,14
127202,8.0,2
127573,54.0,9
128223,87.0,19
128969,48.0,6
129444,69.0,11
130365,234.0,44
130394,188.0,21
131075,206.0,31
131225,44.0,9
131758,72.0,12
131978,121.0,27
132098,50.0,8
133179,65.0,5
134270,38.0,10
134425,36.0,9
134883,219.0,13
135343,30.0,7
135492,184.0,39
136111,5.0,1
138055,69.0,8
139208,7.0,2
139304,257.0,24
142310,63.0,12
143812,123.0,27
143891,161.0,20
145988,68.0,13
146227,142.0,15
146310,11.0,3
146509,29.0,4
146752,253.0,35
146795,121.0,17
148153,62.0,10
148252,8.0,2
148367,100.0,16
148455,41.0,12
148928,57.0,7
149829,85.0,18
149928,42.0,4
153084,40.0,9
156990,113.0,16
157635,116.0,17
157672,47.0,6
158863,142.0,24
159088,7.0,2
159471,259.0,41
160241,40.0,5
160963,48.0,6
161056,41.0,7
162029,11.0,2
162434,185.0,25
163744,154.0,24
164771,25.0,3
165007,318.0,53
165513,50.0,11
165793,14.0,2
165895,15.0,2
166237,9.0,3
166601,133.0,25
166683,13.0,2
167329,90.0,12
167491,17.0,4
167727,12.0,3
167741,3.0,1
168678,55.0,7
169880,3.0,1
170472,32.0,4
170527,135.0,22
170911,25.0,3
170929,132.0,25
170934,22.0,6
170961,244.0,30
170986,201.0,24
172857,5.0,1
173491,55.0,7
173504,85.0,5
173859,52.0,12
174094,253.0,40
175449,34.0,5
175639,55.0,9
176139,186.0,25
177476,179.0,41
177779,44.0,5
177847,117.0,13
177907,152.0,28
179184,3.0,1
181136,203.0,31
181375,116.0,22
181378,53.0,8
181382,36.0,5
181687,67.0,9
181768,105.0,12
182875,25.0,1
182893,7.0,1
182904,13.0,4
182906,63.0,12
182913,76.0,8
182916,124.0,15
183288,533.0,110
184528,67.0,13
184573,214.0,43
184892,151.0,19
184894,142.0,20
186186,63.0,7
186368,21.0,3
186590,217.0,42
187097,32.0,4
187492,44.0,8
187587,149.0,15
187718,23.0,4
188077,147.0,11
188888,90.0,16
189441,52.0,7
190289,120.0,14
190338,77.0,9
190393,66.0,11
191056,11.0,1
191217,118.0,23
191422,7.0,2
192080,198.0,40
192169,17.0,4
192279,34.0,8
192557,176.0,12
192565,132.0,12
192616,41.0,6
192635,74.0,13
192638,295.0,33
192735,48.0,8
192765,165.0,23
193004,53.0,11
193033,177.0,12
193098,139.0,13
193116,31.0,7
193859,378.0,40
193900,13.0,3
195246,4.0,1
195633,171.0,28
195736,68.0,16
195778,37.0,5
196231,48.0,4
196357,3.0,1
196792,20.0,1
196948,246.0,46
197122,94.0,12
197471,343.0,31
197473,99.0,13
197642,20.0,3
197751,98.0,14
197838,53.0,11
198008,68.0,14
198116,56.0,12
198709,146.0,20
199248,69.0,13
199258,148.0,20
199369,45.0,8
199527,104.0,21
199733,74.0,14
199953,258.0,35
199976,169.0,27
200056,55.0,12
202591,297.0,34
202886,185.0,41
203123,37.0,6
203460,74.0,17
203496,91.0,15
203746,116.0,16
203853,110.0,21
204069,84.0,17
204103,156.0,26
205562,329.0,65
206040,44.0,6
206050,251.0,32
206717,58.0,4
206746,180.0,29
207014,8.0,1
207877,285.0,35
207917,58.0,8
207929,44.0,7
208172,23.0,5
208379,101.0,17
209212,611.0,75
210178,60.0,10
211474,78.0,10
212723,140.0,23
212847,153.0,27
214532,59.0,7
215099,221.0,18
215599,66.0,11
215649,18.0,2
215876,145.0,22
216179,206.0,32
216872,10.0,2
220878,213.0,28
221025,156.0,22
221316,47.0,9
222859,53.0,3
223967,29.0,5
223974,115.0,19
223979,331.0,54
225043,255.0,33
225122,16.0,4
225657,167.0,26
225873,66.0,5
226524,62.0,10
226973,78.0,12
227081,81.0,16
227084,35.0,0
227085,106.0,18
227511,5.0,1
228444,57.0,9
229006,142.0,17
229604,104.0,22
229804,135.0,20
230784,151.0,35
231572,11.0,2
232320,14.0,1
232418,46.0,6
232454,16.0,2
232895,124.0,15
234029,338.0,46
234523,34.0,5
234781,90.0,12
234803,121.0,27
236490,58.0,10
237164,276.0,44
237499,238.0,29
237658,121.0,23
237662,259.0,39
238223,173.0,18
238407,34.0,10
238537,4.0,0
238639,7.0,2
238752,33.0,4
238868,65.0,8
239962,42.0,5
240414,110.0,15
241229,159.0,24
241307,87.0,6
241641,16.0,3
241923,91.0,3
242086,36.0,19
242273,22.0,3
242631,27.0,5
242661,79.0,6
243028,58.0,11
243188,35.0,6
243714,186.0,29
243760,54.0,9
244192,107.0,18
244940,50.0,9
245056,102.0,12
245537,276.0,44
245744,90.0,12
246291,112.0,19
246968,161.0,21
