column,dtype,rows,missing_count,missing_pct,unique_values,example_1,example_2,example_3,min,max,mean,std,zeros
foot,object,1946,20,1.03,3,left,right,right,,,,,
height_in_cm,float64,1946,12,0.62,39,175.0,195.0,190.0,17.0,202.0,183.81540847983453,7.624568235629665,0.0
market_value_in_eur,float64,1946,9,0.46,86,55000000.0,28000000.0,70000000.0,25000.0,180000000.0,11286112.545172948,15475389.167983796,0.0
highest_market_value_in_eur,float64,1946,9,0.46,92,150000000.0,100000000.0,70000000.0,50000.0,180000000.0,17753355.704697985,20108116.980744917,0.0
Red Cards,int64,1946,0,0.0,4,0,0,1,0.0,3.0,0.1223021582733813,0.3591564569675139,1728.0
position,object,1946,0,0.0,4,Attack,Defender,Midfield,,,,,
Position,object,1946,0,0.0,6,AT,DF,MT,,,,,
Penalty Goals Made,int64,1946,0,0.0,9,9,0,0,0.0,9.0,0.14028776978417265,0.6850220715296228,1817.0
Penalty Attempts,int64,1946,0,0.0,10,9,0,0,0.0,9.0,0.17163412127440905,0.7617711075550038,1793.0
current_club_domestic_competition_id,object,1946,0,0.0,13,GB1,GB1,GB1,,,,,
Assists,int64,1946,0,0.0,15,18,1,4,0.0,18.0,1.159301130524152,1.9165919637591824,1056.0
Yellow Cards,int64,1946,0,0.0,16,1,5,6,0.0,15.0,2.7965056526207603,2.7135209616805245,464.0
Non-Penalty Goals,int64,1946,0,0.0,23,20,3,0,0.0,24.0,1.542137718396711,2.8837854216986716,1055.0
Goals,int64,1946,0,0.0,25,29,3,0,0.0,29.0,1.6824254881808838,3.249183322480076,1038.0
Age,int64,1946,0,0.0,27,32,33,22,15.0,41.0,25.378725590955806,4.367670385471671,0.0
Goals + Assists,int64,1946,0,0.0,30,47,4,4,0.0,47.0,2.841726618705036,4.6343554332869825,779.0
Matches Played,int64,1946,0,0.0,38,38,37,37,1.0,38.0,20.11819116135663,11.19586813319912,0.0
Starts,int64,1946,0,0.0,39,38,37,37,0.0,38.0,15.057553956834532,11.394391665086628,148.0
xAG Per 90,float64,1946,0,0.0,54,0.38,0.02,0.09,0.0,1.45,0.07686022610483041,0.09517867376190328,421.0
Assists Per 90,float64,1946,0,0.0,59,0.48,0.03,0.11,0.0,1.01,0.06739979445015416,0.10774444428842722,1056.0
npxG Per 90,float64,1946,0,0.0,79,0.49,0.06,0.03,0.0,3.53,0.10843268242548817,0.17438090223698804,387.0
Non-Penalty Goals Per 90,float64,1946,0,0.0,80,0.53,0.08,0.0,0.0,1.64,0.09358170606372046,0.16745875524696113,1055.0
xAG,float64,1946,0,0.0,81,14.2,0.7,3.1,0.0,14.2,1.1803186022610481,1.6593020805701322,447.0
xG Per 90,float64,1946,0,0.0,86,0.67,0.06,0.03,0.0,3.53,0.11580678314491265,0.18400036793086955,386.0
Goals Per 90,float64,1946,0,0.0,90,0.77,0.08,0.0,0.0,1.64,0.10068345323741007,0.17756883021480172,1038.0
npxG + xAG Per 90,float64,1946,0,0.0,95,0.87,0.08,0.12,0.0,3.53,0.18524152106885922,0.21569798995705894,280.0
Nation,object,1946,0,0.0,96,EGY,NED,NED,,,,,
xG + xAG Per 90,float64,1946,0,0.0,99,1.05,0.08,0.12,0.0,3.53,0.19252826310380267,0.22597012900112765,279.0
Non-Penalty Goals + Assists Per 90,float64,1946,0,0.0,106,1.01,0.11,0.11,0.0,1.64,0.16095066803699898,0.22320352945230237,786.0
Goals + Assists Per 90,float64,1946,0,0.0,108,1.25,0.11,0.11,0.0,1.64,0.1680524152106886,0.23396780770105158,779.0
npxG,float64,1946,0,0.0,110,18.2,2.2,1.1,0.0,24.0,1.5496402877697844,2.553185897128599,427.0
Progressive Carries,int64,1946,0,0.0,119,154,22,70,0.0,181.0,19.555498458376157,24.772222047599527,326.0
xG,float64,1946,0,0.0,125,25.2,2.2,1.1,0.0,27.1,1.6854573484069888,2.890994655686548,426.0
npxG + xAG,float64,1946,0,0.0,153,32.4,3.0,4.2,0.0,32.4,2.7327852004110995,3.777299827488189,310.0
Progressive Passes,int64,1946,0,0.0,204,144,198,181,0.0,360.0,49.58170606372045,51.53167348437952,193.0
Progressive Receives,int64,1946,0,0.0,215,488,6,55,0.0,488.0,40.72764645426516,57.28138121360361,314.0
90s Played,float64,1946,0,0.0,364,37.5,37.0,35.1,0.0,38.0,14.92338129496403,10.828625924340317,26.0
Minutes,float64,1946,0,0.0,1242,3371.0,3330.0,3160.0,1.0,3420.0,1343.0755395683452,974.5721755705107,0.0
Player,object,1946,0,0.0,1677,Mohamed Salah,Virgil van Dijk,Ryan Gravenberch,,,,,
name_clean,object,1946,0,0.0,1677,mohamed salah,virgil van dijk,ryan gravenberch,,,,,
image_url,object,1946,0,0.0,1677,https://img.a.transfermarkt.technology/portrait/header/148455-1727337594.jpg?lm=1,https://img.a.transfermarkt.technology/portrait/header/139208-1702049837.jpg?lm=1,https://img.a.transfermarkt.technology/portrait/header/478573-1718097194.jpg?lm=1,,,,,
url,object,1946,0,0.0,1698,https://www.transfermarkt.co.uk/mohamed-salah/profil/spieler/148455,https://www.transfermarkt.co.uk/virgil-van-dijk/profil/spieler/139208,https://www.transfermarkt.co.uk/ryan-gravenberch/profil/spieler/478573,,,,,
Unnamed: 0,int64,1946,0,0.0,1921,0,1,2,0.0,2273.0,1125.8144912641314,660.4588215997799,1.0
