name,position,foot,height_in_cm,current_club_domestic_competition_id,market_value_in_eur,highest_market_value_in_eur,image_url,url
James Milner,Midfield,right,175,GB1,1000000,21000000,https://img.a.transfermarkt.technology/portrait/header/3333-1662621121.jpg?lm=1,https://www.transfermarkt.co.uk/james-milner/profil/spieler/3333
Anastasios Tsokanis,Midfield,left,176,GR1,300000,450000,https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1,https://www.transfermarkt.co.uk/anastasios-tsokanis/profil/spieler/5336
Jonas Hofmann,Midfield,right,176,L1,3000000,16000000,https://img.a.transfermarkt.technology/portrait/header/7161-1689710421.jpg?lm=1,https://www.transfermarkt.co.uk/jonas-hofmann/profil/spieler/7161
Pepe Reina,Goalkeeper,right,188,IT1,600000,22000000,https://img.a.transfermarkt.technology/portrait/header/7825-1724826388.jpg?lm=1,https://www.transfermarkt.co.uk/pepe-reina/profil/spieler/7825
Lionel Carole,Defender,left,180,TR1,400000,3500000,https://img.a.transfermarkt.technology/portrait/header/11530-1694080287.png?lm=1,https://www.transfermarkt.co.uk/lionel-carole/profil/spieler/11530
Ludovic Butelle,Goalkeeper,left,188,FR1,100000,1750000,https://img.a.transfermarkt.technology/portrait/header/12029-1723831895.png?lm=1,https://www.transfermarkt.co.uk/ludovic-butelle/profil/spieler/12029
Daley Blind,Defender,left,180,ES1,2000000,25000000,https://img.a.transfermarkt.technology/portrait/header/12282-1718096647.jpg?lm=1,https://www.transfermarkt.co.uk/daley-blind/profil/spieler/12282
Niki Mäenpää,Goalkeeper,right,187,GR1,50000,600000,https://img.a.transfermarkt.technology/portrait/header/12359-1630656734.jpg?lm=1,https://www.transfermarkt.co.uk/niki-maenpaa/profil/spieler/12359
Craig Gordon,Goalkeeper,left,193,SC1,100000,10000000,https://img.a.transfermarkt.technology/portrait/header/12589-1716378382.jpg?lm=1,https://www.transfermarkt.co.uk/craig-gordon/profil/spieler/12589
Dimitrios Sotiriou,Goalkeeper,right,185,GR1,75000,400000,https://img.a.transfermarkt.technology/portrait/header/12880-1739291690.jpg?lm=1,https://www.transfermarkt.co.uk/dimitrios-sotiriou/profil/spieler/12880
Ashley Young,Defender,both,175,GB1,500000,27000000,https://img.a.transfermarkt.technology/portrait/header/14086-1700736434.jpg?lm=1,https://www.transfermarkt.co.uk/ashley-young/profil/spieler/14086
Scott Carson,Goalkeeper,right,188,GB1,200000,6000000,https://img.a.transfermarkt.technology/portrait/header/14555-1666733622.jpg?lm=1,https://www.transfermarkt.co.uk/scott-carson/profil/spieler/14555
Raúl Albiol,Defender,right,190,ES1,1300000,18000000,https://img.a.transfermarkt.technology/portrait/header/15452-1664974689.jpg?lm=1,https://www.transfermarkt.co.uk/raul-albiol/profil/spieler/15452
Igor Akinfeev,Goalkeeper,right,187,RU1,1000000,20000000,https://img.a.transfermarkt.technology/portrait/header/15570-1629034528.png?lm=1,https://www.transfermarkt.co.uk/igor-akinfeev/profil/spieler/15570
Dante,Defender,left,188,FR1,500000,17000000,https://img.a.transfermarkt.technology/portrait/header/16136-1739971106.jpg?lm=1,https://www.transfermarkt.co.uk/dante/profil/spieler/16136
Casemiro,Midfield,right,185,GB1,12000000,80000000,https://img.a.transfermarkt.technology/portrait/header/16306-1699018876.jpg?lm=1,https://www.transfermarkt.co.uk/casemiro/profil/spieler/16306
Oleg Ivanov,Midfield,right,192,RU1,100000,4000000,https://img.a.transfermarkt.technology/portrait/header/16756-1722142461.png?lm=1,https://www.transfermarkt.co.uk/oleg-ivanov/profil/spieler/16756
Kasper Schmeichel,Goalkeeper,right,189,SC1,750000,12000000,https://img.a.transfermarkt.technology/portrait/header/16911-1659600543.jpg?lm=1,https://www.transfermarkt.co.uk/kasper-schmeichel/profil/spieler/16911
Manuel Neuer,Goalkeeper,right,193,L1,4000000,45000000,https://img.a.transfermarkt.technology/portrait/header/17259-1702419450.jpg?lm=1,https://www.transfermarkt.co.uk/manuel-neuer/profil/spieler/17259
Oleksandr Rybka,Goalkeeper,right,193,UKR1,100000,5000000,https://img.a.transfermarkt.technology/portrait/header/19619-1723644416.png?lm=1,https://www.transfermarkt.co.uk/oleksandr-rybka/profil/spieler/19619
Jesper Hansen,Goalkeeper,right,188,DK1,100000,1000000,https://img.a.transfermarkt.technology/portrait/header/22860-1601543044.jpg?lm=1,https://www.transfermarkt.co.uk/jesper-hansen/profil/spieler/22860
Thomas Mikkelsen,Goalkeeper,right,190,DK1,25000,300000,https://img.a.transfermarkt.technology/portrait/header/23523-1629726028.jpg?lm=1,https://www.transfermarkt.co.uk/thomas-mikkelsen/profil/spieler/23523
Steve Mandanda,Goalkeeper,right,187,FR1,700000,17000000,https://img.a.transfermarkt.technology/portrait/header/23951-1666698933.jpg?lm=1,https://www.transfermarkt.co.uk/steve-mandanda/profil/spieler/23951
Ricardo Batista,Goalkeeper,left,192,PO1,100000,1000000,https://img.a.transfermarkt.technology/portrait/header/24846-1663602421.png?lm=1,https://www.transfermarkt.co.uk/ricardo-batista/profil/spieler/24846
Remko Pasveer,Goalkeeper,right,188,NL1,150000,1250000,https://img.a.transfermarkt.technology/portrait/header/25520-1666951851.jpg?lm=1,https://www.transfermarkt.co.uk/remko-pasveer/profil/spieler/25520
Rúben Fernandes,Defender,right,187,PO1,100000,2000000,https://img.a.transfermarkt.technology/portrait/header/27178-1710239064.jpg?lm=1,https://www.transfermarkt.co.uk/ruben-fernandes/profil/spieler/27178
Iván Cuéllar,Goalkeeper,left,187,ES1,100000,2500000,https://img.a.transfermarkt.technology/portrait/header/27493-1664289273.jpg?lm=1,https://www.transfermarkt.co.uk/ivan-cuellar/profil/spieler/27493
Mikhail Kerzhakov,Goalkeeper,right,190,RU1,300000,2000000,https://img.a.transfermarkt.technology/portrait/header/27706-1721722570.png?lm=1,https://www.transfermarkt.co.uk/mikhail-kerzhakov/profil/spieler/27706
Daniele Padelli,Goalkeeper,right,191,IT1,150000,2000000,https://img.a.transfermarkt.technology/portrait/header/27807-1630653305.jpg?lm=1,https://www.transfermarkt.co.uk/daniele-padelli/profil/spieler/27807
Luka Modric,Midfield,right,172,ES1,5000000,55000000,https://img.a.transfermarkt.technology/portrait/header/27992-1687776160.jpg?lm=1,https://www.transfermarkt.co.uk/luka-modric/profil/spieler/27992
Denis Petric,Goalkeeper,right,186,FR1,100000,1500000,https://img.a.transfermarkt.technology/portrait/header/28356-1703065287.jpg?lm=1,https://www.transfermarkt.co.uk/denis-petric/profil/spieler/28356
Edin Džeko,Attack,right,193,TR1,2000000,32000000,https://img.a.transfermarkt.technology/portrait/header/28396-1728391796.JPG?lm=1,https://www.transfermarkt.co.uk/edin-dzeko/profil/spieler/28396
João Moutinho,Midfield,right,170,PO1,600000,30000000,https://img.a.transfermarkt.technology/portrait/header/29364-1464083394.PNG?lm=1,https://www.transfermarkt.co.uk/joao-moutinho/profil/spieler/29364
Guillermo Ochoa,Goalkeeper,right,185,PO1,800000,8000000,https://img.a.transfermarkt.technology/portrait/header/29559-1668452843.jpg?lm=1,https://www.transfermarkt.co.uk/guillermo-ochoa/profil/spieler/29559
Lukasz Fabianski,Goalkeeper,right,190,GB1,700000,9000000,https://img.a.transfermarkt.technology/portrait/header/29692-1685709486.jpg?lm=1,https://www.transfermarkt.co.uk/lukasz-fabianski/profil/spieler/29692
John Ruddy,Goalkeeper,right,192,GB1,200000,5000000,https://img.a.transfermarkt.technology/portrait/header/29712-1736421115.jpg?lm=1,https://www.transfermarkt.co.uk/john-ruddy/profil/spieler/29712
Kenneth Vermeer,Goalkeeper,right,182,NL1,50000,6500000,https://img.a.transfermarkt.technology/portrait/header/30290-1724750901.jpg?lm=1,https://www.transfermarkt.co.uk/kenneth-vermeer/profil/spieler/30290
Oscar Trejo,Midfield,right,180,ES1,800000,4000000,https://img.a.transfermarkt.technology/portrait/header/30321-1653039805.jpg?lm=1,https://www.transfermarkt.co.uk/oscar-trejo/profil/spieler/30321
Jonathan de Guzmán,Midfield,right,173,NL1,100000,10000000,https://img.a.transfermarkt.technology/portrait/header/31067-1723809863.jpg?lm=1,https://www.transfermarkt.co.uk/jonathan-de-guzman/profil/spieler/31067
Norman Theuerkauf,Midfield,left,183,L1,175000,1500000,https://img.a.transfermarkt.technology/portrait/header/31599-1657874835.jpg?lm=1,https://www.transfermarkt.co.uk/norman-theuerkauf/profil/spieler/31599
Tobias Sippel,Goalkeeper,right,183,L1,300000,3000000,https://img.a.transfermarkt.technology/portrait/header/31653-1662965792.jpg?lm=1,https://www.transfermarkt.co.uk/tobias-sippel/profil/spieler/31653
Armando Izzo,Defender,right,183,IT1,2500000,25000000,https://img.a.transfermarkt.technology/portrait/header/32113-1724827391.jpg?lm=1,https://www.transfermarkt.co.uk/armando-izzo/profil/spieler/32113
Przemyslaw Tyton,Goalkeeper,right,195,NL1,100000,5000000,https://img.a.transfermarkt.technology/portrait/header/33210-1723819406.jpg?lm=1,https://www.transfermarkt.co.uk/przemyslaw-tyton/profil/spieler/33210
Lorenzo De Silvestri,Defender,right,187,IT1,400000,6000000,https://img.a.transfermarkt.technology/portrait/header/33571-1595929290.jpg?lm=1,https://www.transfermarkt.co.uk/lorenzo-de-silvestri/profil/spieler/33571
Vito Mannone,Goalkeeper,right,188,FR1,200000,3500000,https://img.a.transfermarkt.technology/portrait/header/33781-1614092740.jpg?lm=1,https://www.transfermarkt.co.uk/vito-mannone/profil/spieler/33781
José Fonte,Defender,right,191,PO1,100000,7000000,https://img.a.transfermarkt.technology/portrait/header/33829-1666690457.jpg?lm=1,https://www.transfermarkt.co.uk/jose-fonte/profil/spieler/33829
Sinan Bolat,Goalkeeper,right,186,TR1,200000,3500000,https://img.a.transfermarkt.technology/portrait/header/33862-1704875039.jpg?lm=1,https://www.transfermarkt.co.uk/sinan-bolat/profil/spieler/33862
Asmir Begovic,Goalkeeper,right,199,GB1,300000,13000000,https://img.a.transfermarkt.technology/portrait/header/33873-1737919950.jpg?lm=1,https://www.transfermarkt.co.uk/asmir-begovic/profil/spieler/33873
Tom Heaton,Goalkeeper,right,188,GB1,250000,6000000,https://img.a.transfermarkt.technology/portrait/header/34130-1688121718.jpg?lm=1,https://www.transfermarkt.co.uk/tom-heaton/profil/spieler/34130
Lasse Schöne,Midfield,right,178,NL1,100000,7000000,https://img.a.transfermarkt.technology/portrait/header/34784-1704798405.jpg?lm=1,https://www.transfermarkt.co.uk/lasse-schone/profil/spieler/34784
