Unnamed: 0,Player,Nation,Position,Age,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals Made,Penalty Attempts,Yellow Cards,Red Cards,xG,npxG,xAG,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Receives,Goals Per 90,Assists Per 90,Goals + Assists Per 90,Non-Penalty Goals Per 90,Non-Penalty Goals + Assists Per 90,xG Per 90,xAG Per 90,xG + xAG Per 90,npxG Per 90,npxG + xAG Per 90,name_clean,position,foot,height_in_cm,current_club_domestic_competition_id,market_value_in_eur,highest_market_value_in_eur,image_url,url
0,Mohamed Salah,EGY,AT,32,38,38,"3,371",37.5,29,18,47,20,9,9,1,0,25.2,18.2,14.2,32.4,154,144,488,0.77,0.48,1.25,0.53,1.01,0.67,0.38,1.05,0.49,0.87,mohamed salah,Attack,left,175.0,GB1,55000000.0,150000000.0,https://img.a.transfermarkt.technology/portrait/header/148455-1727337594.jpg?lm=1,https://www.transfermarkt.co.uk/mohamed-salah/profil/spieler/148455
1,Virgil van Dijk,NED,DF,33,37,37,"3,330",37.0,3,1,4,3,0,0,5,0,2.2,2.2,0.7,3.0,22,198,6,0.08,0.03,0.11,0.08,0.11,0.06,0.02,0.08,0.06,0.08,virgil van dijk,Defender,right,195.0,GB1,28000000.0,100000000.0,https://img.a.transfermarkt.technology/portrait/header/139208-1702049837.jpg?lm=1,https://www.transfermarkt.co.uk/virgil-van-dijk/profil/spieler/139208
2,Ryan Gravenberch,NED,MT,22,37,37,"3,160",35.1,0,4,4,0,0,0,6,1,1.1,1.1,3.1,4.2,70,181,55,0.0,0.11,0.11,0.0,0.11,0.03,0.09,0.12,0.03,0.12,ryan gravenberch,Midfield,right,190.0,GB1,70000000.0,70000000.0,https://img.a.transfermarkt.technology/portrait/header/478573-1718097194.jpg?lm=1,https://www.transfermarkt.co.uk/ryan-gravenberch/profil/spieler/478573
3,Alexis Mac Allister,ARG,MT,25,35,30,"2,599",28.9,5,5,10,5,0,0,6,0,2.8,2.8,4.7,7.5,36,177,80,0.17,0.17,0.35,0.17,0.35,0.1,0.16,0.26,0.1,0.26,alexis mac allister,Midfield,right,176.0,GB1,90000000.0,90000000.0,https://img.a.transfermarkt.technology/portrait/header/534033-1669835342.jpg?lm=1,https://www.transfermarkt.co.uk/alexis-mac-allister/profil/spieler/534033
4,Ibrahima Konaté,FRA,DF,25,31,30,"2,560",28.4,1,2,3,1,0,0,5,0,1.7,1.7,1.0,2.7,25,115,3,0.04,0.07,0.11,0.04,0.11,0.06,0.03,0.1,0.06,0.1,ibrahima konate,Defender,right,194.0,GB1,60000000.0,60000000.0,https://img.a.transfermarkt.technology/portrait/header/357119-1669190550.jpg?lm=1,https://www.transfermarkt.co.uk/ibrahima-konate/profil/spieler/357119
5,Dominik Szoboszlai,HUN,MT,23,36,29,"2,491",27.7,6,6,12,6,0,0,6,0,7.3,7.3,7.4,14.7,72,131,127,0.22,0.22,0.43,0.22,0.43,0.27,0.27,0.53,0.27,0.53,dominik szoboszlai,Midfield,right,187.0,GB1,80000000.0,80000000.0,https://img.a.transfermarkt.technology/portrait/header/451276-1700209677.jpg?lm=1,https://www.transfermarkt.co.uk/dominik-szoboszlai/profil/spieler/451276
6,Andrew Robertson,SCO,DF,30,33,29,"2,482",27.6,0,1,1,0,0,0,3,1,1.2,1.2,4.6,5.8,64,176,108,0.0,0.04,0.04,0.0,0.04,0.04,0.17,0.21,0.04,0.21,andrew robertson,Defender,left,178.0,GB1,20000000.0,80000000.0,https://img.a.transfermarkt.technology/portrait/header/234803-1709147379.jpg?lm=1,https://www.transfermarkt.co.uk/andrew-robertson/profil/spieler/234803
7,Alisson,BRA,GB,31,28,28,"2,508",27.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,alisson,Goalkeeper,right,193.0,GB1,25000000.0,90000000.0,https://img.a.transfermarkt.technology/portrait/header/105470-1668522221.jpg?lm=1,https://www.transfermarkt.co.uk/alisson/profil/spieler/105470
7,Alisson,BRA,GB,31,28,28,"2,508",27.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,alisson,Attack,left,183.0,UKR1,10000000.0,10000000.0,https://img.a.transfermarkt.technology/portrait/header/1083070-1741617223.png?lm=1,https://www.transfermarkt.co.uk/alisson/profil/spieler/1083070
8,Luis Díaz,COL,AT,27,36,28,"2,399",26.7,13,5,18,13,0,0,2,0,12.0,12.0,5.0,17.1,108,110,293,0.49,0.19,0.68,0.49,0.68,0.45,0.19,0.64,0.45,0.64,luis diaz,Attack,right,180.0,GB1,85000000.0,85000000.0,https://img.a.transfermarkt.technology/portrait/header/480692-1697903145.jpg?lm=1,https://www.transfermarkt.co.uk/luis-diaz/profil/spieler/480692
9,Trent Alexander-Arnold,ENG,DF,25,33,28,"2,365",26.3,3,6,9,3,0,0,5,0,1.9,1.9,7.3,9.2,51,232,94,0.11,0.23,0.34,0.11,0.34,0.07,0.28,0.35,0.07,0.35,trent alexander arnold,Defender,right,175.0,GB1,75000000.0,110000000.0,https://img.a.transfermarkt.technology/portrait/header/314353-1701680958.jpg?lm=1,https://www.transfermarkt.co.uk/trent-alexander-arnold/profil/spieler/314353
10,Cody Gakpo,NED,AT,25,35,23,"1,935",21.5,10,4,14,10,0,0,5,0,7.1,7.1,4.4,11.5,59,52,278,0.47,0.19,0.65,0.47,0.65,0.33,0.2,0.53,0.33,0.53,cody gakpo,Attack,right,193.0,GB1,70000000.0,70000000.0,https://img.a.transfermarkt.technology/portrait/header/434675-1682690965.jpg?lm=1,https://www.transfermarkt.co.uk/cody-gakpo/profil/spieler/434675
11,Curtis Jones,ENG,"MT,DF",23,33,19,"1,712",19.0,3,3,6,3,0,0,3,1,4.3,4.3,1.1,5.4,30,117,79,0.16,0.16,0.32,0.16,0.32,0.23,0.06,0.29,0.23,0.29,curtis jones,Midfield,right,185.0,GB1,50000000.0,50000000.0,https://img.a.transfermarkt.technology/portrait/header/433188-1701681163.jpg?lm=1,https://www.transfermarkt.co.uk/curtis-jones/profil/spieler/433188
12,Diogo Jota,POR,AT,27,26,14,"1,196",13.3,6,3,9,6,0,0,2,0,7.9,7.9,1.8,9.8,37,34,88,0.45,0.23,0.68,0.45,0.68,0.6,0.14,0.74,0.6,0.74,diogo jota,Attack,right,178.0,GB1,45000000.0,60000000.0,https://img.a.transfermarkt.technology/portrait/header/340950-1716296423.jpg?lm=1,https://www.transfermarkt.co.uk/diogo-jota/profil/spieler/340950
13,Caoimhín Kelleher,IRL,GB,25,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,caoimhin kelleher,Goalkeeper,right,188.0,GB1,22000000.0,22000000.0,https://img.a.transfermarkt.technology/portrait/header/340918-1708933663.jpg?lm=1,https://www.transfermarkt.co.uk/caoimhin-kelleher/profil/spieler/340918
15,Darwin Núñez,URU,AT,25,30,8,"1,133",12.6,5,2,7,5,0,0,8,0,5.8,5.8,1.3,7.1,23,27,78,0.4,0.16,0.56,0.4,0.56,0.46,0.1,0.57,0.46,0.57,darwin nunez,Attack,right,187.0,GB1,50000000.0,70000000.0,https://img.a.transfermarkt.technology/portrait/header/546543-1681827179.jpg?lm=1,https://www.transfermarkt.co.uk/darwin-nunez/profil/spieler/546543
16,Conor Bradley,NIR,DF,21,19,7,754,8.4,0,2,2,0,0,0,4,0,0.7,0.7,1.4,2.1,35,33,39,0.0,0.24,0.24,0.0,0.24,0.08,0.17,0.25,0.08,0.25,conor bradley,Defender,right,181.0,GB1,25000000.0,25000000.0,https://img.a.transfermarkt.technology/portrait/header/624258-1708933100.jpg?lm=1,https://www.transfermarkt.co.uk/conor-bradley/profil/spieler/624258
17,Joe Gomez,ENG,DF,27,9,6,519,5.8,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,5,35,2,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,joe gomez,Defender,right,188.0,GB1,25000000.0,42000000.0,https://img.a.transfermarkt.technology/portrait/header/256178-1595946530.jpg?lm=1,https://www.transfermarkt.co.uk/joe-gomez/profil/spieler/256178
18,Jarell Quansah,ENG,DF,21,13,4,495,5.5,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,3,19,4,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,jarell quansah,Defender,right,190.0,GB1,22000000.0,22000000.0,https://img.a.transfermarkt.technology/portrait/header/632349-1633426240.jpg?lm=1,https://www.transfermarkt.co.uk/jarell-quansah/profil/spieler/632349
19,Harvey Elliott,ENG,MT,21,18,2,371,4.1,1,2,3,1,0,0,1,0,1.8,1.8,1.1,2.8,10,44,30,0.24,0.49,0.73,0.24,0.73,0.43,0.26,0.69,0.43,0.69,harvey elliott,Midfield,left,170.0,GB1,35000000.0,35000000.0,https://img.a.transfermarkt.technology/portrait/header/565822-1665128076.jpg?lm=1,https://www.transfermarkt.co.uk/harvey-elliott/profil/spieler/565822
20,Wataru Endo,JPN,"MT,DF",31,20,1,273,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,19,8,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,wataru endo,Midfield,right,178.0,GB1,10000000.0,13000000.0,https://img.a.transfermarkt.technology/portrait/header/146310-1657181542.jpg?lm=1,https://www.transfermarkt.co.uk/wataru-endo/profil/spieler/146310
21,Federico Chiesa,ITA,AT,26,6,1,108,1.2,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,3,3,7,0.0,0.0,0.0,0.0,0.0,0.28,0.15,0.43,0.28,0.43,federico chiesa,Attack,right,175.0,GB1,18000000.0,70000000.0,https://img.a.transfermarkt.technology/portrait/header/341092-1663576975.jpg?lm=1,https://www.transfermarkt.co.uk/federico-chiesa/profil/spieler/341092
22,Vitezslav Jaros,CZE,GB,23,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vitezslav jaros,Goalkeeper,right,190.0,GB1,5000000.0,5000000.0,https://img.a.transfermarkt.technology/portrait/header/486604-1696603392.jpg?lm=1,https://www.transfermarkt.co.uk/vitezslav-jaros/profil/spieler/486604
23,Jayden Danns,ENG,MT,18,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,jayden danns,Attack,right,183.0,GB1,1000000.0,1000000.0,https://img.a.transfermarkt.technology/portrait/header/939290-1709192145.jpg?lm=1,https://www.transfermarkt.co.uk/jayden-danns/profil/spieler/939290
24,Mohamed Salah,EGY,AT,32,38,38,"3,371",37.5,29,18,47,20,9,9,1,0,25.2,18.2,14.2,32.4,154,144,488,0.77,0.48,1.25,0.53,1.01,0.67,0.38,1.05,0.49,0.87,mohamed salah,Attack,left,175.0,GB1,55000000.0,150000000.0,https://img.a.transfermarkt.technology/portrait/header/148455-1727337594.jpg?lm=1,https://www.transfermarkt.co.uk/mohamed-salah/profil/spieler/148455
25,Virgil van Dijk,NED,DF,33,37,37,"3,330",37.0,3,1,4,3,0,0,5,0,2.2,2.2,0.7,3.0,22,198,6,0.08,0.03,0.11,0.08,0.11,0.06,0.02,0.08,0.06,0.08,virgil van dijk,Defender,right,195.0,GB1,28000000.0,100000000.0,https://img.a.transfermarkt.technology/portrait/header/139208-1702049837.jpg?lm=1,https://www.transfermarkt.co.uk/virgil-van-dijk/profil/spieler/139208
26,Ryan Gravenberch,NED,MT,22,37,37,"3,160",35.1,0,4,4,0,0,0,6,1,1.1,1.1,3.1,4.2,70,181,55,0.0,0.11,0.11,0.0,0.11,0.03,0.09,0.12,0.03,0.12,ryan gravenberch,Midfield,right,190.0,GB1,70000000.0,70000000.0,https://img.a.transfermarkt.technology/portrait/header/478573-1718097194.jpg?lm=1,https://www.transfermarkt.co.uk/ryan-gravenberch/profil/spieler/478573
27,Alexis Mac Allister,ARG,MT,25,35,30,"2,599",28.9,5,5,10,5,0,0,6,0,2.8,2.8,4.7,7.5,36,177,80,0.17,0.17,0.35,0.17,0.35,0.1,0.16,0.26,0.1,0.26,alexis mac allister,Midfield,right,176.0,GB1,90000000.0,90000000.0,https://img.a.transfermarkt.technology/portrait/header/534033-1669835342.jpg?lm=1,https://www.transfermarkt.co.uk/alexis-mac-allister/profil/spieler/534033
28,Ibrahima Konaté,FRA,DF,25,31,30,"2,560",28.4,1,2,3,1,0,0,5,0,1.7,1.7,1.0,2.7,25,115,3,0.04,0.07,0.11,0.04,0.11,0.06,0.03,0.1,0.06,0.1,ibrahima konate,Defender,right,194.0,GB1,60000000.0,60000000.0,https://img.a.transfermarkt.technology/portrait/header/357119-1669190550.jpg?lm=1,https://www.transfermarkt.co.uk/ibrahima-konate/profil/spieler/357119
29,Dominik Szoboszlai,HUN,MT,23,36,29,"2,491",27.7,6,6,12,6,0,0,6,0,7.3,7.3,7.4,14.7,72,131,127,0.22,0.22,0.43,0.22,0.43,0.27,0.27,0.53,0.27,0.53,dominik szoboszlai,Midfield,right,187.0,GB1,80000000.0,80000000.0,https://img.a.transfermarkt.technology/portrait/header/451276-1700209677.jpg?lm=1,https://www.transfermarkt.co.uk/dominik-szoboszlai/profil/spieler/451276
30,Andrew Robertson,SCO,DF,30,33,29,"2,482",27.6,0,1,1,0,0,0,3,1,1.2,1.2,4.6,5.8,64,176,108,0.0,0.04,0.04,0.0,0.04,0.04,0.17,0.21,0.04,0.21,andrew robertson,Defender,left,178.0,GB1,20000000.0,80000000.0,https://img.a.transfermarkt.technology/portrait/header/234803-1709147379.jpg?lm=1,https://www.transfermarkt.co.uk/andrew-robertson/profil/spieler/234803
31,Alisson,BRA,GB,31,28,28,"2,508",27.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,alisson,Goalkeeper,right,193.0,GB1,25000000.0,90000000.0,https://img.a.transfermarkt.technology/portrait/header/105470-1668522221.jpg?lm=1,https://www.transfermarkt.co.uk/alisson/profil/spieler/105470
31,Alisson,BRA,GB,31,28,28,"2,508",27.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,alisson,Attack,left,183.0,UKR1,10000000.0,10000000.0,https://img.a.transfermarkt.technology/portrait/header/1083070-1741617223.png?lm=1,https://www.transfermarkt.co.uk/alisson/profil/spieler/1083070
32,Luis Díaz,COL,AT,27,36,28,"2,399",26.7,13,5,18,13,0,0,2,0,12.0,12.0,5.0,17.1,108,110,293,0.49,0.19,0.68,0.49,0.68,0.45,0.19,0.64,0.45,0.64,luis diaz,Attack,right,180.0,GB1,85000000.0,85000000.0,https://img.a.transfermarkt.technology/portrait/header/480692-1697903145.jpg?lm=1,https://www.transfermarkt.co.uk/luis-diaz/profil/spieler/480692
33,Trent Alexander-Arnold,ENG,DF,25,33,28,"2,365",26.3,3,6,9,3,0,0,5,0,1.9,1.9,7.3,9.2,51,232,94,0.11,0.23,0.34,0.11,0.34,0.07,0.28,0.35,0.07,0.35,trent alexander arnold,Defender,right,175.0,GB1,75000000.0,110000000.0,https://img.a.transfermarkt.technology/portrait/header/314353-1701680958.jpg?lm=1,https://www.transfermarkt.co.uk/trent-alexander-arnold/profil/spieler/314353
34,Cody Gakpo,NED,AT,25,35,23,"1,935",21.5,10,4,14,10,0,0,5,0,7.1,7.1,4.4,11.5,59,52,278,0.47,0.19,0.65,0.47,0.65,0.33,0.2,0.53,0.33,0.53,cody gakpo,Attack,right,193.0,GB1,70000000.0,70000000.0,https://img.a.transfermarkt.technology/portrait/header/434675-1682690965.jpg?lm=1,https://www.transfermarkt.co.uk/cody-gakpo/profil/spieler/434675
35,Curtis Jones,ENG,"MT,DF",23,33,19,"1,712",19.0,3,3,6,3,0,0,3,1,4.3,4.3,1.1,5.4,30,117,79,0.16,0.16,0.32,0.16,0.32,0.23,0.06,0.29,0.23,0.29,curtis jones,Midfield,right,185.0,GB1,50000000.0,50000000.0,https://img.a.transfermarkt.technology/portrait/header/433188-1701681163.jpg?lm=1,https://www.transfermarkt.co.uk/curtis-jones/profil/spieler/433188
36,Diogo Jota,POR,AT,27,26,14,"1,196",13.3,6,3,9,6,0,0,2,0,7.9,7.9,1.8,9.8,37,34,88,0.45,0.23,0.68,0.45,0.68,0.6,0.14,0.74,0.6,0.74,diogo jota,Attack,right,178.0,GB1,45000000.0,60000000.0,https://img.a.transfermarkt.technology/portrait/header/340950-1716296423.jpg?lm=1,https://www.transfermarkt.co.uk/diogo-jota/profil/spieler/340950
37,Caoimhín Kelleher,IRL,GB,25,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,caoimhin kelleher,Goalkeeper,right,188.0,GB1,22000000.0,22000000.0,https://img.a.transfermarkt.technology/portrait/header/340918-1708933663.jpg?lm=1,https://www.transfermarkt.co.uk/caoimhin-kelleher/profil/spieler/340918
39,Darwin Núñez,URU,AT,25,30,8,"1,133",12.6,5,2,7,5,0,0,8,0,5.8,5.8,1.3,7.1,23,27,78,0.4,0.16,0.56,0.4,0.56,0.46,0.1,0.57,0.46,0.57,darwin nunez,Attack,right,187.0,GB1,50000000.0,70000000.0,https://img.a.transfermarkt.technology/portrait/header/546543-1681827179.jpg?lm=1,https://www.transfermarkt.co.uk/darwin-nunez/profil/spieler/546543
