Player,Nation,Position,Age,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Goals Made,Penalty Attempts,Yellow Cards,Red Cards,xG,npxG,xAG,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Receives,Goals Per 90,Assists Per 90,Goals + Assists Per 90,Non-Penalty Goals Per 90,Non-Penalty Goals + Assists Per 90,xG Per 90,xAG Per 90,xG + xAG Per 90,npxG Per 90,npxG + xAG Per 90,name_clean,position,foot,height_in_cm,current_club_domestic_competition_id,market_value_in_eur,highest_market_value_in_eur,image_url,url,match_name,fifa_name,fifa_full_name,fifa_birth_date,fifa_age,fifa_height_cm,fifa_weight_kgs,fifa_positions,fifa_nationality,fifa_overall_rating,fifa_potential,fifa_value_euro,fifa_wage_euro,fifa_preferred_foot,fifa_international_reputation(1-5),fifa_weak_foot(1-5),fifa_skill_moves(1-5),fifa_body_type,fifa_release_clause_euro,fifa_national_team,fifa_national_rating,fifa_national_team_position,fifa_national_jersey_number,fifa_crossing,fifa_finishing,fifa_heading_accuracy,fifa_short_passing,fifa_volleys,fifa_dribbling,fifa_curve,fifa_freekick_accuracy,fifa_long_passing,fifa_ball_control,fifa_acceleration,fifa_sprint_speed,fifa_agility,fifa_reactions,fifa_balance,fifa_shot_power,fifa_jumping,fifa_stamina,fifa_strength,fifa_long_shots,fifa_aggression,fifa_interceptions,fifa_positioning,fifa_vision,fifa_penalties,fifa_composure,fifa_marking,fifa_standing_tackle,fifa_sliding_tackle,fifa_match_fullname,fuzzy_match_score
Mohamed Salah,EGY,AT,32,38,38,"3,371",37.5,29,18,47,20,9,9,1,0,25.2,18.2,14.2,32.4,154,144,488,0.77,0.48,1.25,0.53,1.01,0.67,0.38,1.05,0.49,0.87,mohamed salah,Attack,left,175.0,GB1,55000000.0,150000000.0,https://img.a.transfermarkt.technology/portrait/header/148455-1727337594.jpg?lm=1,https://www.transfermarkt.co.uk/mohamed-salah/profil/spieler/148455,mohamed salah,M. Sylla,Mohamed Sylla,12/1/1993,25,187.96,81.2,"CDM,CM",France,59,65,180000.0,2000.0,Right,1,3,2,Normal,351000.0,,,,,44,27,52,62,26,50,45,38,55,59,68,65,58,56,54,52,61,66,72,35,64,53,47,53,41,60,50,61,56,mohamed sylla,85
Virgil van Dijk,NED,DF,33,37,37,"3,330",37.0,3,1,4,3,0,0,5,0,2.2,2.2,0.7,3.0,22,198,6,0.08,0.03,0.11,0.08,0.11,0.06,0.02,0.08,0.06,0.08,virgil van dijk,Defender,right,195.0,GB1,28000000.0,100000000.0,https://img.a.transfermarkt.technology/portrait/header/139208-1702049837.jpg?lm=1,https://www.transfermarkt.co.uk/virgil-van-dijk/profil/spieler/139208,virgil van dijk,V. van Dijk,Virgil van Dijk,7/8/1991,27,193.04,92.1,CB,Netherlands,88,90,59500000.0,215000.0,Right,3,3,2,Normal,114500000.0,Netherlands,81.0,LCB,4.0,53,52,83,79,45,70,60,70,81,76,74,77,61,87,49,81,88,75,92,64,82,88,41,60,62,87,90,89,84,virgil van dijk,100
Alexis Mac Allister,ARG,MT,25,35,30,"2,599",28.9,5,5,10,5,0,0,6,0,2.8,2.8,4.7,7.5,36,177,80,0.17,0.17,0.35,0.17,0.35,0.1,0.16,0.26,0.1,0.26,alexis mac allister,Midfield,right,176.0,GB1,90000000.0,90000000.0,https://img.a.transfermarkt.technology/portrait/header/534033-1669835342.jpg?lm=1,https://www.transfermarkt.co.uk/alexis-mac-allister/profil/spieler/534033,alexis mac allister,A. Mac Allister,Alexis Mac Allister,12/24/1998,20,175.26,69.9,"CM,CAM",Argentina,71,85,5000000.0,13000.0,Right,1,3,3,Normal,,,,,,69,71,59,73,58,73,69,75,71,74,70,69,68,69,71,71,63,69,58,74,51,45,72,76,74,71,65,54,51,alexis mac allister,100
Ibrahima Konaté,FRA,DF,25,31,30,"2,560",28.4,1,2,3,1,0,0,5,0,1.7,1.7,1.0,2.7,25,115,3,0.04,0.07,0.11,0.04,0.11,0.06,0.03,0.1,0.06,0.1,ibrahima konate,Defender,right,194.0,GB1,60000000.0,60000000.0,https://img.a.transfermarkt.technology/portrait/header/357119-1669190550.jpg?lm=1,https://www.transfermarkt.co.uk/ibrahima-konate/profil/spieler/357119,ibrahima konate,I. Konaté,Ibrahima Konaté,5/25/1999,19,193.04,93.0,CB,France,76,84,9500000.0,17000.0,Right,1,2,3,Normal,18100000.0,,,,,35,17,70,73,28,67,28,23,62,67,73,84,65,69,53,37,74,65,78,25,77,74,33,41,41,68,73,82,78,ibrahima konaté,97
Dominik Szoboszlai,HUN,MT,23,36,29,"2,491",27.7,6,6,12,6,0,0,6,0,7.3,7.3,7.4,14.7,72,131,127,0.22,0.22,0.43,0.22,0.43,0.27,0.27,0.53,0.27,0.53,dominik szoboszlai,Midfield,right,187.0,GB1,80000000.0,80000000.0,https://img.a.transfermarkt.technology/portrait/header/451276-1700209677.jpg?lm=1,https://www.transfermarkt.co.uk/dominik-szoboszlai/profil/spieler/451276,dominik szoboszlai,D. Szoboszlai,Dominik Szoboszlai,10/25/2000,18,185.42,69.9,"CAM,CM",Hungary,65,82,1100000.0,4000.0,Right,1,4,3,Lean,2300000.0,,,,,67,62,58,62,68,67,75,76,58,70,75,79,74,55,69,72,72,53,59,71,45,25,58,60,64,55,30,28,24,dominik szoboszlai,100
Andrew Robertson,SCO,DF,30,33,29,"2,482",27.6,0,1,1,0,0,0,3,1,1.2,1.2,4.6,5.8,64,176,108,0.0,0.04,0.04,0.0,0.04,0.04,0.17,0.21,0.04,0.21,andrew robertson,Defender,left,178.0,GB1,20000000.0,80000000.0,https://img.a.transfermarkt.technology/portrait/header/234803-1709147379.jpg?lm=1,https://www.transfermarkt.co.uk/andrew-robertson/profil/spieler/234803,andrew robertson,A. Robertson,Andrew Robertson,3/11/1994,24,152.4,64.0,LB,Scotland,83,88,29000000.0,110000.0,Left,1,2,3,Lean,55800000.0,Scotland,75.0,LB,3.0,87,57,63,76,32,76,74,30,68,78,83,86,78,83,74,67,62,93,66,60,80,81,66,74,55,79,81,83,78,andrew robertson,100
Alisson,BRA,GB,31,28,28,"2,508",27.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,alisson,Goalkeeper,right,193.0,GB1,25000000.0,90000000.0,https://img.a.transfermarkt.technology/portrait/header/105470-1668522221.jpg?lm=1,https://www.transfermarkt.co.uk/alisson/profil/spieler/105470,alisson,Alisson,Alisson Ramses Becker,10/2/1992,26,190.5,91.2,GK,Brazil,87,91,46000000.0,135000.0,Right,3,3,1,Normal,88600000.0,,,,,17,13,19,45,20,27,19,18,44,30,54,45,40,86,37,21,52,32,78,14,27,11,13,66,23,65,15,19,16,alisson ramses becker,100
Alisson,BRA,GB,31,28,28,"2,508",27.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,alisson,Attack,left,183.0,UKR1,10000000.0,10000000.0,https://img.a.transfermarkt.technology/portrait/header/1083070-1741617223.png?lm=1,https://www.transfermarkt.co.uk/alisson/profil/spieler/1083070,alisson,Alisson,Alisson Ramses Becker,10/2/1992,26,190.5,91.2,GK,Brazil,87,91,46000000.0,135000.0,Right,3,3,1,Normal,88600000.0,,,,,17,13,19,45,20,27,19,18,44,30,54,45,40,86,37,21,52,32,78,14,27,11,13,66,23,65,15,19,16,alisson ramses becker,100
Luis Díaz,COL,AT,27,36,28,"2,399",26.7,13,5,18,13,0,0,2,0,12.0,12.0,5.0,17.1,108,110,293,0.49,0.19,0.68,0.49,0.68,0.45,0.19,0.64,0.45,0.64,luis diaz,Attack,right,180.0,GB1,85000000.0,85000000.0,https://img.a.transfermarkt.technology/portrait/header/480692-1697903145.jpg?lm=1,https://www.transfermarkt.co.uk/luis-diaz/profil/spieler/480692,luis diaz,Luis Díaz,Luis Díaz Carballido,2/27/1995,24,187.96,78.0,"CM,CDM",Spain,61,67,350000.0,2000.0,Right,1,3,2,Normal,630000.0,,,,,47,38,58,73,37,61,50,49,71,59,54,58,58,56,48,58,65,61,64,43,60,56,44,52,51,42,55,68,69,luis díaz carballido,94
Trent Alexander-Arnold,ENG,DF,25,33,28,"2,365",26.3,3,6,9,3,0,0,5,0,1.9,1.9,7.3,9.2,51,232,94,0.11,0.23,0.34,0.11,0.34,0.07,0.28,0.35,0.07,0.35,trent alexander arnold,Defender,right,175.0,GB1,75000000.0,110000000.0,https://img.a.transfermarkt.technology/portrait/header/314353-1701680958.jpg?lm=1,https://www.transfermarkt.co.uk/trent-alexander-arnold/profil/spieler/314353,trent alexander arnold,T. Alexander-Arnold,Trent Alexander-Arnold,10/7/1998,20,154.94,68.9,RB,England,79,89,17000000.0,40000.0,Right,1,4,3,Lean,34900000.0,England,82.0,SUB,14.0,83,56,59,76,41,75,74,80,76,76,82,79,74,78,74,75,66,79,62,63,73,76,66,72,55,74,76,78,76,trent alexander-arnold,100
